,duration,isHD,treatment,licensedContent,popular,hasDescription,numTags,isMusicCategory,publishDayOfWeek,publishMonth,publishYear
Hard 2 Love Haystak,271.0,0.0,0.0,0.0,16.80604439302002,0.0,0,0.0,,,
27 Fall Out Boy,193.0,1.0,0.0,1.0,13.107578619517502,0.0,0,0.0,,,
Devour Shinedown,229.0,0.0,0.0,1.0,16.371467760759803,0.0,0,0.0,,,
Chill Or Be Chilled Oli Silk,224.0,1.0,0.0,1.0,10.37148917911119,0.0,0,0.0,,,
I Know You Know Esperanza Spalding,226.0,1.0,0.0,1.0,13.289349613611995,0.0,0,0.0,,,
Hot N Cold Katy Perry,284.0,1.0,0.0,1.0,20.83268697630145,0.0,0,0.0,,,
"Sin Perdón Héctor Acosta ""El Torito",254.0,0.0,0.0,1.0,15.849277333827777,0.0,0,0.0,,,
I'm Just Talkin' About Tonight Toby Keith,206.0,0.0,0.0,1.0,15.308703376503054,0.0,0,0.0,,,
Cry For You - Radio Mix September,173.0,0.0,0.0,1.0,16.085045357549145,0.0,0,0.0,,,
What a Shame Shinedown,259.0,1.0,0.0,1.0,15.331558465876954,0.0,0,0.0,,,
Strange Overtones David Byrne,258.0,1.0,0.0,0.0,13.397754727421871,0.0,0,0.0,,,
A Dark Knight Hans Zimmer James Newton Howard,976.0,1.0,0.0,1.0,10.253897914895148,0.0,0,0.0,,,
No Me Diga Andrea Burns Janet Dacal Karen Olivo Mandy Gonzalez,145.0,1.0,0.0,0.0,9.861988245358098,0.0,0,0.0,,,
Ultraviolet Stiff Dylans,229.0,1.0,0.0,1.0,13.427193085189991,0.0,0,0.0,,,
Bésame Mucho Los Panchos,185.0,0.0,0.0,0.0,15.710594371259058,0.0,0,0.0,,,
Ride Through the Country (feat. John Michael Montgomery) Colt Ford John Michael Montgomery,275.0,1.0,0.0,1.0,14.032165906338115,0.0,0,0.0,,,
Bruises & Bitemarks Good With Grenades,183.0,0.0,0.0,0.0,14.02552104690447,0.0,0,0.0,,,
Porcelain Moby,192.0,0.0,0.0,1.0,16.720342538852623,0.0,0,0.0,,,
"Courtesy Of The Red, White And Blue (The Angry American) Toby Keith",200.0,1.0,1.0,1.0,17.88680035642238,0.0,0,0.0,,,
Rocky Top The Osborne Brothers,178.0,0.0,0.0,0.0,16.571932804090256,0.0,0,0.0,,,
Thuggin' (feat. Lil' Phat & Shell of 3 Deep and Lil' Boosie) Webbie Boosie Badazz Lil' Phat & Shell of 3 Deep,257.0,1.0,0.0,1.0,12.419981689728262,0.0,0,0.0,,,
Cumbersome Seven Mary Three,240.0,0.0,0.0,1.0,17.63742632279491,0.0,0,0.0,,,
(Don't Fear) The Reaper - Single Version Blue Öyster Cult,232.0,0.0,0.0,0.0,11.21633718304745,0.0,0,0.0,,,
"Ravel: String Quartet, M. 35: II. Assez vif - Très rythmé Maurice Ravel Quatuor Ébène",390.0,1.0,0.0,1.0,11.158120200662147,0.0,0,0.0,,,
You Make Me Sick Egypt Central,231.0,1.0,0.0,0.0,12.921455764990684,0.0,0,0.0,,,
Lazy Days Shwayze Cisco Adler,218.0,1.0,0.0,1.0,11.644725359416602,0.0,0,0.0,,,
Just Like Me Jamie Foxx T.I.,229.0,0.0,0.0,1.0,17.48964752365782,0.0,0,0.0,,,
"Vultures - Live at the Nokia Theatre, Los Angeles, CA - December 2007 John Mayer",320.0,1.0,0.0,1.0,13.049379696075677,0.0,0,0.0,,,
Soon We'll Be Found Sia,241.0,0.0,0.0,1.0,18.32973323783302,0.0,0,0.0,,,
One Woman Randy Rogers Band,246.0,1.0,0.0,1.0,12.572415702284488,0.0,0,0.0,,,
Unanswered Suicide Silence,142.0,0.0,0.0,1.0,17.281605958636895,0.0,0,0.0,,,
Cold Shoulder Adele,192.0,0.0,0.0,1.0,17.363627048848812,0.0,0,0.0,,,
Space Age Love Song A Flock Of Seagulls,205.0,0.0,0.0,1.0,15.754059824933984,0.0,0,0.0,,,
The Diary Hollywood Undead,276.0,1.0,0.0,0.0,14.959872838602408,0.0,0,0.0,,,
Do What You Do Mudvayne,218.0,0.0,0.0,1.0,15.778836173587974,0.0,0,0.0,,,
When It Rains Eli Young Band,214.0,0.0,0.0,1.0,15.098154884164178,0.0,0,0.0,,,
Next Go Round Nickelback,224.0,1.0,0.0,1.0,14.604625883640068,0.0,0,0.0,,,
I Kissed A Girl Katy Perry,185.0,1.0,0.0,1.0,19.354674590884574,0.0,0,0.0,,,
最長的電影 Jay Chou,238.0,0.0,0.0,1.0,17.134016744470834,0.0,0,0.0,,,
Cyanide Metallica,400.0,1.0,0.0,1.0,14.736343359007067,0.0,0,0.0,,,
9MM David Banner Akon Snoop Dogg Lil Wayne,252.0,0.0,0.0,0.0,15.050479286716609,0.0,0,0.0,,,
Be With You Akon,230.0,0.0,0.0,0.0,16.14396630109722,0.0,0,0.0,,,
Tengo Ganas Víctor Manuelle,266.0,0.0,0.0,1.0,18.954705848581174,0.0,0,0.0,,,
Two Cups of Tea Star Fucking Hipsters,219.0,0.0,0.0,0.0,11.281220367994111,0.0,0,0.0,,,
Si Me Vas A Dejar Lalo Mora,152.0,0.0,0.0,1.0,15.65948052581944,0.0,0,0.0,,,
Audience Of One Rise Against,249.0,0.0,0.0,1.0,16.57882787070662,0.0,0,0.0,,,
Make the Road By Walking Menahan Street Band,248.0,0.0,0.0,0.0,12.983645989292365,0.0,0,0.0,,,
Light It Up Rev Theory,252.0,0.0,0.0,1.0,15.742529238777607,0.0,0,0.0,,,
Let It Rock Kevin Rudolf Lil Wayne,234.0,0.0,0.0,1.0,17.779512998331697,0.0,0,0.0,,,
Aparentemente Tony Vega,305.0,1.0,0.0,1.0,10.828262194058594,0.0,0,0.0,,,
"Dunn, Dunn Shawty Lo",206.0,0.0,0.0,0.0,15.017599889668722,0.0,0,0.0,,,
Hearts On Fire Cut Copy,224.0,0.0,0.0,1.0,14.746804969603312,0.0,0,0.0,,,
Troublemaker Akon Sweet Rush,249.0,0.0,0.0,0.0,13.569153393550543,0.0,0,0.0,,,
Bloody Nose Jack Conte,177.0,1.0,0.0,1.0,14.060017087221635,0.0,0,0.0,,,
Wild International One Day As A Lion,230.0,0.0,0.0,1.0,15.250350053236193,0.0,0,0.0,,,
I Stand Corrected Vampire Weekend,160.0,1.0,0.0,1.0,11.748716696117802,0.0,0,0.0,,,
Te Regalo Amores R.K.M & Ken-Y Ken-Y,250.0,0.0,0.0,1.0,18.120721642917637,0.0,0,0.0,,,
Mil Demonios Moderatto,256.0,0.0,0.0,0.0,16.33265929995307,0.0,0,0.0,,,
I Know It's Today Leah Greenhaus Marissa O'Donnell Sutton Foster,188.0,0.0,0.0,0.0,13.27891574230432,0.0,0,0.0,,,
The Dirt Whispered Rise Against,190.0,1.0,0.0,1.0,13.23156391074786,0.0,0,0.0,,,
A Little Bit Longer Jonas Brothers,206.0,1.0,0.0,1.0,13.167019293047549,0.0,0,0.0,,,
Cómo Duele Ricardo Arjona,212.0,0.0,0.0,1.0,18.308083730108503,0.0,0,0.0,,,
Sex Tourists French Kicks,212.0,1.0,0.0,1.0,10.138520148242751,0.0,0,0.0,,,
I Trust You James Fortune Fiya,345.0,0.0,0.0,0.0,16.839926785171937,0.0,0,0.0,,,
Been Down This Road Railroad Earth,322.0,1.0,0.0,0.0,10.439191137568022,0.0,0,0.0,,,
Summerboy Lady Gaga,254.0,1.0,0.0,1.0,13.487634071799977,0.0,0,0.0,,,
After Hours (Extended Euro Mix) Living Legends,500.0,0.0,0.0,0.0,13.11432717344087,0.0,0,0.0,,,
Skeleton Tiger Tame Impala,265.0,1.0,0.0,1.0,12.397130925766513,0.0,0,0.0,,,
Light On David Cook,228.0,0.0,0.0,1.0,16.195536206738552,0.0,0,0.0,,,
Hypnotized Plies Akon,194.0,0.0,0.0,0.0,16.228176657546978,0.0,0,0.0,,,
Coney Island Good Old War,172.0,0.0,0.0,1.0,13.609578043380418,0.0,0,0.0,,,
"Beautiful, Beautiful Francesca Battistelli",206.0,0.0,0.0,1.0,15.842179158487411,0.0,0,0.0,,,
Brand New Day Neil Patrick Harris,110.0,1.0,0.0,1.0,13.797144937678775,0.0,0,0.0,,,
I Can't Stay The Killers,186.0,1.0,0.0,1.0,12.726787212126512,0.0,0,0.0,,,
THE ART OF DYING Gojira,595.0,0.0,0.0,0.0,15.796431195977926,0.0,0,0.0,,,
He Doesn't Know Why Fleet Foxes,202.0,0.0,0.0,1.0,15.586558346832588,0.0,0,0.0,,,
Fine Young Cannibals Wolf Parade,393.0,1.0,0.0,1.0,11.582311592455236,0.0,0,0.0,,,
Asleep - 2008 Remaster The Smiths,251.0,1.0,0.0,1.0,14.40549425207371,0.0,0,0.0,,,
You've Really Got A Hold On Me Smokey Robinson & The Miracles,179.0,0.0,0.0,0.0,16.09680306422365,0.0,0,0.0,,,
Tell Me Why Taylor Swift,202.0,1.0,0.0,1.0,14.667986133675985,0.0,0,0.0,,,
I'm Amazed My Morning Jacket,274.0,1.0,0.0,1.0,13.049818490688125,0.0,0,0.0,,,
Last Call Lee Ann Womack,192.0,1.0,1.0,1.0,15.988039242149185,0.0,0,0.0,,,
Dónde Estés Y Con Quién Estés Grupo Bryndis,220.0,0.0,0.0,1.0,17.074224366973276,0.0,0,0.0,,,
Too Cool Meaghan Martin,170.0,1.0,0.0,1.0,14.189639097874338,0.0,0,0.0,,,
Single Again Trina,209.0,0.0,0.0,1.0,16.31081702503003,0.0,0,0.0,,,
Life In A Northern Town - Live Little Big Town Sugarland Jake Owen,253.0,0.0,0.0,0.0,14.007857525301096,0.0,0,0.0,,,
Friday Sir Charles Jones,242.0,1.0,0.0,1.0,16.2645496730737,0.0,0,0.0,,,
Single Ne-Yo,258.0,1.0,0.0,1.0,13.686030376661735,0.0,0,0.0,,,
Sunrise Mandy Gonzalez Christopher Jackson In The Heights' Original Broadway Company,249.0,1.0,0.0,1.0,13.773351211253757,0.0,0,0.0,,,
Let Me Love You on a Backroad (The Roadhead Song) Corey Smith,243.0,1.0,0.0,1.0,12.001321413770034,0.0,0,0.0,,,
We Made It (feat. Linkin Park) Busta Rhymes Linkin Park,272.0,0.0,0.0,1.0,17.58947977728731,0.0,0,0.0,,,
Paz En Este Amor Los Sierreños,201.0,1.0,0.0,1.0,10.607994960666709,0.0,0,0.0,,,
"The House of God, Forever Jon Foreman",284.0,1.0,0.0,1.0,13.674678292998195,0.0,0,0.0,,,
Lights Out Santigold,193.0,0.0,0.0,0.0,14.210741474934752,0.0,0,0.0,,,
So Happy Theory of a Deadman,252.0,0.0,0.0,1.0,15.277532561007222,0.0,0,0.0,,,
Corazón Necio Cardenales De Nuevo León,212.0,0.0,0.0,0.0,17.124895017281947,0.0,0,0.0,,,
Mi Amante Valentín Elizalde,212.0,0.0,0.0,1.0,14.419808491868126,0.0,0,0.0,,,
Rome Phoenix,279.0,1.0,0.0,1.0,12.291410539694871,0.0,0,0.0,,,
A New Error Moderat,368.0,1.0,0.0,1.0,14.942066753398848,0.0,0,0.0,,,
Jim Cain Bill Callahan,280.0,1.0,0.0,1.0,12.06939344661492,0.0,0,0.0,,,
Video Phone (feat. Lady Gaga) Beyoncé Lady Gaga William Burke,305.0,1.0,0.0,1.0,14.058628486530678,0.0,0,0.0,,,
Everlasting Love Carl Carlton,154.0,0.0,0.0,0.0,15.19475714174401,0.0,0,0.0,,,
Fall Apart Today Schuyler Fisk,209.0,0.0,0.0,0.0,12.404624279184107,0.0,0,0.0,,,
La La La LMFAO,290.0,0.0,0.0,1.0,18.405610719404443,0.0,0,0.0,,,
When I Fall in Love (feat. Chris Botti) Renee Olstead Chris Botti,284.0,1.0,0.0,1.0,11.934329536879895,0.0,0,0.0,,,
"My Quiet Spirit, Pt. 2 Liquid Mind",305.0,1.0,0.0,1.0,10.504985344411832,0.0,0,0.0,,,
Unstoppable (feat. Santigold & Lil Wayne) Drake Santigold Lil Wayne,211.0,0.0,0.0,0.0,12.969594409240381,0.0,0,0.0,,,
Somebody To Love (Glee Cast Version) - Cover of Queen Song Glee Cast,159.0,1.0,0.0,0.0,15.74879736685801,0.0,0,0.0,,,
Girl With One Eye Florence + The Machine,219.0,1.0,0.0,1.0,11.56477760317548,0.0,0,0.0,,,
"It's Not Me, It's You Skillet",205.0,1.0,0.0,1.0,14.623172773411621,0.0,0,0.0,,,
The Calm Drake,243.0,0.0,0.0,0.0,15.699090792732385,0.0,0,0.0,,,
I'm Not Calling You A Liar Florence + The Machine,186.0,0.0,0.0,0.0,15.406995882723068,0.0,0,0.0,,,
Hey Daddy (Daddy's Home) (feat. Plies) Usher Plies,228.0,0.0,0.0,1.0,18.411791138231333,0.0,0,0.0,,,
Leave The World Behind - Radio Edit Axwell Sebastian Ingrosso Steve Angello Laidback Luke Deborah Cox,162.0,1.0,0.0,0.0,12.005540273834182,0.0,0,0.0,,,
Don't Ever Leave Smile Empty Soul,190.0,0.0,0.0,1.0,13.032576515955004,0.0,0,0.0,,,
Good Ol' Fashion Nightmare Matt and Kim,211.0,0.0,0.0,0.0,11.337881363146503,0.0,0,0.0,,,
Lotus Cage The Elephant,197.0,1.0,0.0,1.0,12.496093231526492,0.0,0,0.0,,,
More Beautiful You Jonny Diaz,222.0,0.0,0.0,1.0,13.654233210325831,0.0,0,0.0,,,
According To You Orianthi,201.0,0.0,0.0,1.0,17.04137160923372,0.0,0,0.0,,,
Candy Paolo Nutini,223.0,0.0,0.0,1.0,17.564698419198166,0.0,0,0.0,,,
Just Ain't Gonna Work Out Mayer Hawthorne,153.0,1.0,0.0,0.0,16.116030419835866,0.0,0,0.0,,,
Cha Cha Slide Mr. C,254.0,0.0,0.0,1.0,18.617704237360726,0.0,0,0.0,,,
Show Me Nesian N.I.N.E.,239.0,0.0,0.0,0.0,14.72907798500772,0.0,0,0.0,,,
Assassin John Mayer,316.0,1.0,0.0,0.0,14.420733763425398,0.0,0,0.0,,,
Baby I'm A Fool Melody Gardot,210.0,0.0,0.0,1.0,16.328288178640527,0.0,0,0.0,,,
Letter from a Thief Chevelle,208.0,0.0,0.0,1.0,15.67501870276623,0.0,0,0.0,,,
Ou Est Ma Tete? Pink Martini,250.0,1.0,0.0,1.0,13.93888857912428,0.0,0,0.0,,,
Buster Whitefield Brothers,183.0,1.0,0.0,1.0,11.005045498492807,0.0,0,0.0,,,
Upside Down Paloma Faith,195.0,0.0,0.0,1.0,16.11850016912981,0.0,0,0.0,,,
Bizzy Body (feat. Webbie & Mouse) Paul Wall Mouse Webbie,257.0,1.0,0.0,1.0,14.167140899264012,0.0,0,0.0,,,
Cafo Animals As Leaders,416.0,1.0,0.0,1.0,14.792456405307576,0.0,0,0.0,,,
No One Gets Left Behind Five Finger Death Punch,204.0,1.0,0.0,1.0,14.072637284289558,0.0,0,0.0,,,
Pretty Things TFDI,307.0,1.0,0.0,1.0,10.126311052639412,0.0,0,0.0,,,
Primal Scream Mötley Crüe,321.0,0.0,0.0,1.0,14.558225219552227,0.0,0,0.0,,,
Alive Black Eyed Peas,305.0,0.0,0.0,0.0,14.130085503583677,0.0,0,0.0,,,
Cowboy Casanova Carrie Underwood,235.0,0.0,0.0,1.0,17.499960918106314,0.0,0,0.0,,,
Slow Life (with Victoria Legrand) Grizzly Bear Victoria Legrand,262.0,1.0,0.0,1.0,13.559084229011477,0.0,0,0.0,,,
Monster Skillet,187.0,0.0,0.0,1.0,19.771933201718543,0.0,0,0.0,,,
Fading Decyfer Down,252.0,1.0,0.0,1.0,14.32236249709261,0.0,0,0.0,,,
